service	container	image	image_id	revision_label	release_content_label	status
gateway-bff	d85dec543c90346eb78a1f9f3690f2ad96ae5892a18b5c2926777ac3e841eaa9	crm-system/gateway-bff:66d2531	sha256:60cc01b3fac3f06067e47ad650d432756ad61dbce6e74e889554840cb2beb2e5	66d2531	66d2531	running/healthy
identity-authz	4944bf8dfc45441c095f2872d7f6bff8e7022cb43a5e2c960e8e672b809edc82	crm-system/identity-authz:66d2531	sha256:79eec9bb98d6245ff647cb3f9e938d7dae0617dadb133e5424d22e3fc78d7db9	66d2531	66d2531	running/healthy
lead	d26462bf600fd750385e826668deeea6ce3ed4cbc32392c5eec8b8fc1eaf1223	crm-system/lead:66d2531	sha256:90164dc41bc5fcf888fcaa9dcfb1f48936d2f3978c394601d0874ba2b0ac2fdd	66d2531	66d2531	running/healthy
account	2e7cb8df53399033d96e9e3eb2fbde88b95abf061845281c821ffce70d16ffa6	crm-system/account:66d2531	sha256:3b55b0bf6530eab43a8a3d7a3b21dae64c026a6d305ef733101fa40de4bbf733	66d2531	66d2531	running/healthy
opportunity	55ae76f2bcd99dcab6f9ec01303bc8c3df10414df0829d9eccd0749a529e5df4	crm-system/opportunity:66d2531	sha256:8c741702012f21abeb0e0bf4f796ea9ecf1165930385dbba43aad80320780e2f	66d2531	66d2531	running/healthy
commercial	e9f0fa72963a68c94260f08a5dc563b17f54d1cb4746bb449893f9ad33903fd7	crm-system/commercial:66d2531	sha256:53ca46167ddd2d9273f3a640963137c1897182a7ea4bb3cb4c1f1d34164812e3	66d2531	66d2531	running/healthy
work	7a2b734008b25e4bb35d5a6e29a1563d8f18a820a6c65485a821d6641cd60819	crm-system/work:66d2531	sha256:754759bc5ad26a60cc06d335637732e7d5bcbdec3be2fdf38cd91b7c5784c80b	66d2531	66d2531	running/healthy
audit-history	ce0f7c68c1b57fba2bb7613a39ada4887884dc8eea9039c676d8d11d6773bd0b	crm-system/audit-history:66d2531	sha256:e14cc1af360a9533a465d6b195f831e0356babe2d3e0d9a50580dcee5456c7de	66d2531	66d2531	running/healthy
reporting	026c3e1d1db663b610d4bfe5ef6b2228f6d2b039480bdc9f050127b3487a31a9	crm-system/reporting:66d2531	sha256:98bc16a33438eb2f91c10785c2ead92f25c7c0252c8f15889c2ed33098984a4e	66d2531	66d2531	running/healthy
import-export	bd5a62e7ec321d7b8360f488a92666783796d69296104b2e2e9165aa0a3faff4	crm-system/import-export:66d2531	sha256:265b337c11a73c31e28d51f749cf805b049de61470edc0f4bd55a66aeb507d17	66d2531	66d2531	running/healthy
frontend-web	dbdb8a10f2851b1d4667dc6749901ec24596294e68e10ddcc2656894c745972a	crm-system/frontend-web:66d2531	sha256:af202aa84a507ae5f1d139a2c3bc45dac7c8e54c5f0ee5a628b5fbb19cef06b0	66d2531	66d2531	running/healthy
